S1,S2,S3,S4,S5,S6,S9,S10,S11,S12,S13,S14
7.09028,32.83332128,13.491,14.10994,12.46243,4.338292522,9.026184251,32.26160897,5.594443177,12.76631103,10.13511004,5.106643994
6.30767,28.71125046,3.312182981,19.82542,11.46711,3.808056769,7.124295244,31.16410096,5.480159025,12.56568665,8.826348572,4.180734217
4.3427,14.25428412,3.05382,19.43322,9.24765,2.651178763,6.554379266,22.8566027,4.171989058,11.75294493,8.303654326,4.354452105
5.16646,19.14544208,2.284852551,15.51022,8.80903,2.09051,5.470985235,20.46521852,3.35590638,11.27744301,7.182914924,3.409977101
4.41225,19.46086,2.109094662,14.97485,7.09801,2.313756012,5.235333709,18.96271199,3.150062228,11.0176045,6.788609935,3.409977101
5.21823,18.00485738,2.196973606,18.93142,6.92788,2.410162512,4.460945972,18.908183,2.852519611,10.49099859,6.788609935,3.409977101
5.55106,13.06125881,2.504549911,20.11468,6.25338,2.747585264,5.271103035,23.04263911,3.227088531,12.59732087,6.937142245,3.596772742
6.40531,27.38703494,2.90000516,20.75782,6.26048,3.181414516,5.887395088,25.75415791,2.992968284,14.93886461,6.946370115,3.470287852
5.45372,13.91403881,2.504549911,20.86005,5.75965,2.747585264,5.731257289,21.30850208,2.976984075,12.56189082,7.243778334,2.884420437
6.03853,18.95019699,3.031823577,27.74197,6.31126,5.1561,6.906739098,23.70883668,3.498258405,14.03749857,8.39078734,4.972006209
7.18051,31.89813565,3.690915659,20.73066,12.21826,18.94,9.071143804,30.1385654,4.303384993,18.76352509,11.31226929,10.52181736
6.89683,16.71440781,3.51515777,22.36362,12.47355,23.45774,8.870923871,27.30575746,4.074752593,17.61236112,10.93185837,10.52181736
6.70465,22.50731433,3.075763049,24.94418,10.7538,10.91101,7.930451034,23.43119698,3.324249492,14.77199723,9.36618686,7.734092361
6.03997,27.73948699,3.031823577,22.44796,9.15186,6.16251,7.930451034,22.07644652,3.343807605,14.77199723,9.36618686,6.865301971
8.42715,34.58314537,4.218189324,37.04982,13.02436,10.32803,9.802416352,30.79670703,5.512842114,20.35812735,11.42309068,9.825155193
8.56567,36.82902,4.74546299,32.94662,12.28928,5.26465,9.289270064,35.36348415,5.834341357,21.77531131,10.99889636,8.075908542
6.27587,23.51693903,3.163641993,20.23952,9.52789,9.8669,7.448186869,23.51749462,4.04076823,14.19095103,9.336029502,5.337620765
5.13056,21.85796555,2.724247272,16.46646,10.44967,2.988601515,5.734933159,23.31353819,5.016580552,8.81087883,9.08938652,3.470287852
4.79761,18.72568942,2.07087,10.45579,9.39301,2.554772263,4.84125915,20.56877542,4.713326829,7.524253976,7.545938363,3.066536042
3.71495,15.29759125,1.47483,7.40855,7.03405,1.97633326,4.059284102,15.51298414,3.599910315,4.652129091,5.787280281,2.644991742
2.83565,11.34566247,4.9467,3.99759,4.90117,1.590707258,3.239497109,13.17035446,2.599318493,3.897062907,4.155850489,1.534527224
3.72072,18.37025,3.21626,2.75088,5.37141,2.02453651,3.990411583,17.08911994,3.491772665,4.400591816,4.424076788,1.995873871
3.57456,18.3587986,5.4558,4.18737,5.13373,2.02453651,4.207051024,17.08911994,3.491772665,4.400591816,4.14570019,2.24963765
3.67015,20.9545833,4.34135,7.41384,5.25124,2.120943011,4.207051024,17.08911994,3.491772665,4.170134044,4.085802325,2.24963765
4.30602,24.02492147,2.460610439,15.46265,5.67371,2.699382014,4.960545422,21.98734279,3.917981129,7.461250054,5.533796196,3.066536042
5.52437,32.46311638,3.207581465,21.80985,6.66173,3.518837268,5.074578432,26.83847584,4.213794007,13.94652001,5.918114348,4.000524552
6.38234,36.21541189,3.778794603,27.52049,7.26188,2.9867,7.577504416,33.64580999,4.320916859,19.2464379,7.062173433,4.448554324
8.8221,39.16188946,4.481826157,29.56319,8.04878,9.88114,8.703241735,32.65507845,5.157000297,21.31284635,8.012868404,8.989790355
8.47218,31.64614068,2.53494,22.03245,7.39467,11.28132,8.703241735,33.23911196,4.750818541,20.45845076,7.934581383,10.45420552
6.59485,29.08308189,3.778794603,20.25476,5.96503,5.14556,8.120946886,28.42770421,4.320916859,18.95618613,7.062173433,9.910167266
6.34077,28.87376638,4.80032,19.16824,5.21763,2.54526,5.848966169,25.62320969,4.213794007,14.97200164,6.221301591,4.51492219
